Source Airport Code,Destination Airport Code,Weight
COK,SHJ,2774.4263642303304
COK,DXB,2782.576791835618
COK,KUL,2912.850921496782
COK,MAA,517.6618677279461
COK,BOM,1063.8121533213127
COK,CMB,505.61001671072023
COK,MLE,734.5624600321388
COK,TRV,194.19262804417713
COK,DMM,3330.837829067501
COK,SIN,3202.466438404675
COK,BLR,367.2607215600794
COK,HYD,817.0601555722254
COK,CCJ,119.8882061492458
COK,MCT,2434.3349732597944
COK,DOH,3108.3010814058225
COK,PNQ,974.6919021589847
COK,DEL,2048.904297611125
COK,RUH,3540.2865591295413
COK,AGX,468.03964430420194
COK,BAH,3246.9894396172376
COK,AUH,2795.136731224924
COK,KWI,3636.523686489333
SHJ,CGP,3697.8189860468196
SHJ,DME,3638.84990931369
SHJ,TRV,2939.5332212467806
SHJ,AHB,1542.7903696554565
SHJ,AUH,132.4770209374156
SHJ,KRT,2620.549712873181
SHJ,DAC,3520.9030997325694
SHJ,MED,1595.6622565059936
SHJ,IXE,2450.75128797166
SHJ,CJB,2767.279876067277
SHJ,PNQ,2038.152648462127
SHJ,CIT,2284.572478967813
SHJ,MCT,340.0957688894487
SHJ,TIF,1585.6088669193418
SHJ,SKT,1997.61679927895
SHJ,PEW,1817.9379836498606
SHJ,SAW,2973.2133385925754
SHJ,DEL,2166.617948005315
SHJ,DMM,585.9589429044421
SHJ,EBL,1637.3667102311558
SHJ,CAI,2427.392224568822
SHJ,DYU,1928.4622000498987
SHJ,HYD,2534.3843094467434
SHJ,MHD,1274.7509182914075
SHJ,BBO,2000.6978156141217
SHJ,BOM,1914.0564056442308
SHJ,HAS,1396.7722692985037
SHJ,RUH,888.4499821999524
SHJ,UET,1248.7698941125063
SHJ,HRK,3195.8152031063696
SHJ,TSE,3163.4298234200737
SHJ,HBE,2600.798914483068
SHJ,KHI,1172.8501138662846
SHJ,HMB,2378.6965247963967
SHJ,CMB,3280.0293237610554
SHJ,KZN,3404.7274303654935
SHJ,SYZ,550.094079004268
SHJ,DEA,1560.2695491954778
SHJ,BEY,2149.534910978973
SHJ,BLR,2684.9995332813564
SHJ,MUX,1653.9895272570711
SHJ,KWI,862.4518628184154
SHJ,HGA,2132.659095116905
SHJ,HOF,606.326555663024
SHJ,EVN,1944.8840532295462
SHJ,CCJ,2666.9876971649655
SHJ,JAI,2031.6395739974344
SHJ,UFA,3250.238175177478
SHJ,IKA,1196.9021468353808
SHJ,GOI,2202.7608412022028
SHJ,NJF,1311.8661384371624
SHJ,KBP,3489.226498103536
SHJ,ROV,2820.064931803304
SHJ,ADE,1771.8770099165295
SHJ,AMD,1752.767848107961
SHJ,MAA,2922.3770944913726
SHJ,BAH,499.9657957199795
SHJ,BGW,1403.828156967085
SHJ,AMM,2031.8755999246346
SHJ,ELQ,1179.9936906329324
SHJ,DOK,2968.5549647191215
SHJ,TAS,2178.8204127227336
SHJ,BSR,965.1132877325771
SHJ,NBO,3575.186375675863
SHJ,NAG,2446.9099031261408
SHJ,ATZ,2448.780375514616
SHJ,LRR,284.2253399924457
SHJ,DOH,393.01581520679656
SHJ,LHE,1967.714087794878
SHJ,ISB,1908.04045747353
SHJ,RIY,1347.8940293009314
SHJ,JED,1715.6090156138714
SHJ,SVX,3518.809659297036
SHJ,KTM,2973.783022652512
SHJ,ODS,3215.4034475135236
SHJ,TUK,756.4712701620971
SHJ,SLL,933.5451245068647
SHJ,YNB,1766.3562996827802
SHJ,ALA,2798.0427868230827
GIG,BSB,913.9710186090367
GIG,BOG,4541.064980109904
GIG,CDG,9184.289308849397
GIG,JPA,1955.2271710780715
GIG,GRU,336.7918546019991
GIG,SDQ,5409.847350236211
